card_id,card_name,card_class,card_type,expansion,collection_no,deck_count,deck_share,total_copies,average_copies_when_used
1227,Lillie's Determination,Trainer,SUPPORTER,MEG,119,19,0.863636,71,3.736842
1182,Boss’s Orders,Trainer,SUPPORTER,PAL,172,19,0.863636,54,2.842105
1152,Poké Pad,Trainer,ITEM,POR,81,18,0.818182,64,3.555556
1121,Ultra Ball,Trainer,ITEM,SVI,196,17,0.772727,55,3.235294
1097,Night Stretcher,Trainer,ITEM,SFA,61,17,0.772727,38,2.235294
1086,Buddy-Buddy Poffin,Trainer,ITEM,TEF,144,11,0.5,39,3.545455
1071,Meowth ex,Pokemon,POKEMON,POR,62,10,0.454545,15,1.5
140,Fezandipiti ex,Pokemon,POKEMON,SFA,38,10,0.454545,11,1.1
5,Basic {P} Energy,Energy,BASIC_ENERGY,SVE,5,8,0.363636,25,3.125
1219,Team Rocket's Petrel,Trainer,SUPPORTER,DRI,176,7,0.318182,19,2.714286
112,Munkidori,Pokemon,POKEMON,TWM,95,7,0.318182,14,2.0
1174,Air Balloon,Trainer,TOOL,BLK,79,7,0.318182,12,1.714286
7,Basic {D} Energy,Energy,BASIC_ENERGY,SVE,7,6,0.272727,33,5.5
6,Basic {F} Energy,Energy,BASIC_ENERGY,SVE,6,6,0.272727,32,5.333333
1122,Pokégear 3.0,Trainer,ITEM,SVI,186,6,0.272727,16,2.666667
272,Lillie’s Clefairy ex,Pokemon,POKEMON,JTG,56,6,0.272727,10,1.666667
1123,Switch,Trainer,ITEM,SVI,194,6,0.272727,7,1.166667
20,Rock Fighting Energy,Energy,SPECIAL_ENERGY,POR,88,5,0.227273,17,3.4
1188,Ciphermaniac’s Codebreaking,Trainer,SUPPORTER,TEF,145,5,0.227273,9,1.8
235,Budew,Pokemon,POKEMON,PRE,4,5,0.227273,5,1.0
1080,Unfair Stamp,Trainer,ITEM,TWM,165,5,0.227273,5,1.0
1092,Secret Box,Trainer,ITEM,TWM,163,5,0.227273,5,1.0
1,Basic {G} Energy,Energy,BASIC_ENERGY,SVE,1,4,0.181818,36,9.0
756,Mega Kangaskhan ex,Pokemon,POKEMON,MEG,104,4,0.181818,14,3.5
1198,Crispin,Trainer,SUPPORTER,SCR,133,4,0.181818,13,3.25
