deck_id_a,deck_id_b,shared_unique_cards,shared_copies,weighted_jaccard,cosine_similarity
EX_01,EX_01,24,60,1.0,1.0
EX_01,EX_02,7,16,0.153846,0.322448
EX_01,EX_03,3,6,0.052632,0.117579
EX_01,EX_04,10,22,0.22449,0.433161
EX_01,EX_05,4,6,0.052632,0.080972
EX_01,EX_06,4,10,0.090909,0.1905
EX_01,EX_07,4,5,0.043478,0.087443
EX_01,EX_08,4,6,0.052632,0.112903
EX_01,EX_09,4,9,0.081081,0.169334
EX_01,EX_10,4,9,0.081081,0.217548
EX_01,EX_11,1,1,0.008403,0.020049
EX_01,EX_12,1,3,0.025641,0.047625
EX_01,EX_13,16,32,0.363636,0.563283
EX_01,EX_14,2,5,0.043478,0.110789
EX_01,EX_15,4,7,0.061947,0.148304
EX_01,EX_16,6,11,0.100917,0.233332
EX_01,EX_17,1,2,0.016949,0.028281
EX_01,EX_18,6,11,0.100917,0.19413
EX_01,EX_19,4,8,0.071429,0.127378
EX_01,EX_20,4,8,0.071429,0.155914
EX_01,EX_21,4,9,0.081081,0.164384
EX_01,EX_22,9,21,0.212121,0.46398
EX_02,EX_01,7,16,0.153846,0.322448
EX_02,EX_02,26,60,1.0,1.0
EX_02,EX_03,4,11,0.100917,0.209165
EX_02,EX_04,7,20,0.2,0.380525
EX_02,EX_05,9,15,0.142857,0.176968
EX_02,EX_06,5,13,0.121495,0.279715
EX_02,EX_07,8,15,0.142857,0.272222
EX_02,EX_08,5,13,0.121495,0.26233
EX_02,EX_09,6,19,0.188119,0.392677
EX_02,EX_10,5,15,0.142857,0.234412
EX_02,EX_11,3,7,0.061947,0.132474
EX_02,EX_12,7,18,0.176471,0.322749
EX_02,EX_13,9,17,0.165049,0.283621
EX_02,EX_14,5,15,0.142857,0.29179
EX_02,EX_15,5,13,0.121495,0.216083
EX_02,EX_16,12,26,0.276596,0.515887
EX_02,EX_17,8,19,0.188119,0.368932
EX_02,EX_18,10,22,0.22449,0.436224
EX_02,EX_19,12,25,0.263158,0.443231
EX_02,EX_20,10,28,0.304348,0.579313
EX_02,EX_21,10,22,0.22449,0.358775
EX_02,EX_22,10,24,0.25,0.481793
EX_03,EX_01,3,6,0.052632,0.117579
EX_03,EX_02,4,11,0.100917,0.209165
EX_03,EX_03,22,60,1.0,1.0
EX_03,EX_04,6,13,0.121495,0.219285
EX_03,EX_05,5,17,0.165049,0.571835
EX_03,EX_06,4,7,0.061947,0.120549
EX_03,EX_07,3,3,0.025641,0.029881
EX_03,EX_08,5,10,0.090909,0.166571
EX_03,EX_09,2,7,0.061947,0.135015
EX_03,EX_10,3,9,0.081081,0.130837
EX_03,EX_11,10,25,0.263158,0.420201
EX_03,EX_12,5,14,0.132075,0.342361
EX_03,EX_13,7,18,0.176471,0.465315
EX_03,EX_14,2,5,0.043478,0.078011
EX_03,EX_15,2,6,0.052632,0.099103
EX_03,EX_16,4,9,0.081081,0.170097
EX_03,EX_17,3,8,0.071429,0.124556
EX_03,EX_18,3,10,0.090909,0.176899
EX_03,EX_19,3,9,0.081081,0.151786
EX_03,EX_20,3,10,0.090909,0.181268
EX_03,EX_21,4,12,0.111111,0.198255
EX_03,EX_22,5,12,0.111111,0.218218
EX_04,EX_01,10,22,0.22449,0.433161
EX_04,EX_02,7,20,0.2,0.380525
EX_04,EX_03,6,13,0.121495,0.219285
EX_04,EX_04,24,60,1.0,1.0
EX_04,EX_05,6,11,0.100917,0.144973
EX_04,EX_06,4,9,0.081081,0.173694
EX_04,EX_07,6,12,0.111111,0.217443
EX_04,EX_08,8,18,0.176471,0.326208
EX_04,EX_09,3,11,0.100917,0.231592
EX_04,EX_10,5,14,0.132075,0.220715
EX_04,EX_11,3,7,0.061947,0.129625
EX_04,EX_12,5,12,0.111111,0.200011
EX_04,EX_13,10,18,0.176471,0.282757
EX_04,EX_14,3,9,0.081081,0.165298
EX_04,EX_15,4,11,0.100917,0.196684
EX_04,EX_16,6,14,0.132075,0.295912
EX_04,EX_17,4,11,0.100917,0.182843
EX_04,EX_18,7,14,0.132075,0.233747
EX_04,EX_19,5,13,0.121495,0.219285
EX_04,EX_20,7,16,0.153846,0.288774
EX_04,EX_21,6,16,0.153846,0.278924
EX_04,EX_22,11,28,0.304348,0.555792
EX_05,EX_01,4,6,0.052632,0.080972
EX_05,EX_02,9,15,0.142857,0.176968
EX_05,EX_03,5,17,0.165049,0.571835
EX_05,EX_04,6,11,0.100917,0.144973
EX_05,EX_05,27,60,1.0,1.0
EX_05,EX_06,3,7,0.061947,0.103606
EX_05,EX_07,6,9,0.081081,0.094657
EX_05,EX_08,5,10,0.090909,0.141702
EX_05,EX_09,4,9,0.081081,0.143455
EX_05,EX_10,5,11,0.100917,0.121229
EX_05,EX_11,3,4,0.034483,0.049068
EX_05,EX_12,9,22,0.22449,0.526001
EX_05,EX_13,9,20,0.2,0.61446
EX_05,EX_14,4,9,0.081081,0.125144
EX_05,EX_15,4,9,0.081081,0.119125
EX_05,EX_16,6,12,0.111111,0.158138
EX_05,EX_17,4,9,0.081081,0.110032
EX_05,EX_18,7,12,0.111111,0.146188
EX_05,EX_19,7,13,0.121495,0.140192
EX_05,EX_20,6,11,0.100917,0.14575
EX_05,EX_21,7,13,0.121495,0.167478
EX_05,EX_22,6,12,0.111111,0.139007
EX_06,EX_01,4,10,0.090909,0.1905
EX_06,EX_02,5,13,0.121495,0.279715
EX_06,EX_03,4,7,0.061947,0.120549
EX_06,EX_04,4,9,0.081081,0.173694
EX_06,EX_05,3,7,0.061947,0.103606
EX_06,EX_06,24,60,1.0,1.0
EX_06,EX_07,4,7,0.061947,0.12372
EX_06,EX_08,7,20,0.2,0.375709
EX_06,EX_09,7,19,0.188119,0.385417
EX_06,EX_10,5,10,0.090909,0.231251
EX_06,EX_11,3,6,0.052632,0.098667
EX_06,EX_12,4,10,0.090909,0.192708
EX_06,EX_13,5,9,0.081081,0.165805
EX_06,EX_14,7,16,0.153846,0.302351
EX_06,EX_15,5,12,0.111111,0.257878
EX_06,EX_16,5,11,0.100917,0.246882
EX_06,EX_17,4,12,0.111111,0.213403
EX_06,EX_18,5,12,0.111111,0.226271
EX_06,EX_19,4,10,0.090909,0.188057
