deck_id,deck_name,archetype,slot,card_id,card_name,card_class,card_type,expansion,collection_no,is_ace_spec,is_basic_pokemon
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1,756,Mega Kangaskhan ex,Pokemon,POKEMON,MEG,104,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,2,756,Mega Kangaskhan ex,Pokemon,POKEMON,MEG,104,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,3,756,Mega Kangaskhan ex,Pokemon,POKEMON,MEG,104,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,4,756,Mega Kangaskhan ex,Pokemon,POKEMON,MEG,104,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,5,1071,Meowth ex,Pokemon,POKEMON,POR,62,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,6,1071,Meowth ex,Pokemon,POKEMON,POR,62,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,7,1071,Meowth ex,Pokemon,POKEMON,POR,62,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,8,1071,Meowth ex,Pokemon,POKEMON,POR,62,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,9,272,Lillie’s Clefairy ex,Pokemon,POKEMON,JTG,56,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,10,272,Lillie’s Clefairy ex,Pokemon,POKEMON,JTG,56,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,11,272,Lillie’s Clefairy ex,Pokemon,POKEMON,JTG,56,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,12,272,Lillie’s Clefairy ex,Pokemon,POKEMON,JTG,56,False,True
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,13,184,Latias ex,Pokemon,POKEMON,SSP,76,False,True
