deck_id,deck_name,archetype,card_id,card_name,card_class,card_type,expansion,collection_no,is_ace_spec,is_basic_pokemon,quantity
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,2,Basic {R} Energy,Energy,BASIC_ENERGY,SVE,2,False,False,1
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,3,Basic {W} Energy,Energy,BASIC_ENERGY,SVE,3,False,False,2
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,5,Basic {P} Energy,Energy,BASIC_ENERGY,SVE,5,False,False,4
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,6,Basic {F} Energy,Energy,BASIC_ENERGY,SVE,6,False,False,2
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,20,Rock Fighting Energy,Energy,SPECIAL_ENERGY,POR,88,False,False,1
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,108,Wellspring Mask Ogerpon ex,Pokemon,POKEMON,TWM,64,False,True,2
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,140,Fezandipiti ex,Pokemon,POKEMON,SFA,38,False,True,2
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,184,Latias ex,Pokemon,POKEMON,SSP,76,False,True,3
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,209,Chien-Pao,Pokemon,POKEMON,SSP,56,False,True,1
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,272,Lillie’s Clefairy ex,Pokemon,POKEMON,JTG,56,False,True,4
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,756,Mega Kangaskhan ex,Pokemon,POKEMON,MEG,104,False,True,4
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,791,Moltres,Pokemon,POKEMON,PFL,14,False,True,1
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,979,Koraidon ex,Pokemon,POKEMON,ASC,121,False,True,1
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1071,Meowth ex,Pokemon,POKEMON,POR,62,False,True,4
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1088,Prime Catcher,Trainer,ITEM,TEF,157,True,False,1
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1102,Dusk Ball,Trainer,ITEM,SSP,175,False,False,4
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1121,Ultra Ball,Trainer,ITEM,SVI,196,False,False,4
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1146,Wondrous Patch,Trainer,ITEM,PFL,94,False,False,3
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1172,Lillie’s Pearl,Trainer,TOOL,JTG,151,False,False,2
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1182,Boss’s Orders,Trainer,SUPPORTER,PAL,172,False,False,3
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,1188,Ciphermaniac’s Codebreaking,Trainer,SUPPORTER,TEF,145,False,False,2
