カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明,_effect_len,_has_special_char,_is_evolution,风险等级,PDF页码(公式)
3,基本【水】エネルギー,,WAT,基本エネルギー,,,,,水,,,,,,,,0,False,False,低,42
4,基本【雷】エネルギー,,LIG,基本エネルギー,,,,,雷,,,,,,,,0,False,False,低,43
5,基本【超】エネルギー,,PSY,基本エネルギー,,,,,超,,,,,,,,0,False,False,低,44
6,基本【闘】エネルギー,,FIG,基本エネルギー,,,,,闘,,,,,,,,0,False,False,低,45
9,ブーメランエネルギー,MC,738/742,特殊エネルギー,,,,,無,,,,,,,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

このカードをつけているポケモンが使うワザの効果で、このカードがトラッシュされたなら、ワザのダメージや効果のあとに、もとのポケモンにつけなおす。",114,False,False,低,48
10,ネオアッパーエネルギー,SV5K,071/071,特殊エネルギー,ACE SPEC,,,,虹虹,,,,,,,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

【2進化】ポケモンについているなら、すべてのタイプのエネルギー2個ぶんとしてはたらく。",86,False,False,低,49
11,ミストエネルギー,SVN,043/045,特殊エネルギー,,,,,無,,,,,,,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

このカードをつけているポケモンは、相手のポケモンが使うワザの効果を受けない。（すでに受けている効果は、なくならない。）",102,False,False,低,50
13,リッチエネルギー,MC,740/742,特殊エネルギー,ACE SPEC,,,,無,,,,,,,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。 

このカードを手札からポケモンにつけたとき、自分の山札を4枚引く。",76,False,False,低,52
15,ロケット団エネルギー,MC,742/742,特殊エネルギー,,,,,【ロケット団】【ロケット団】,,,,,,,"このカードは「ロケット団のポケモン」にしかつけられず、「ロケット団のポケモン」以外についているなら、トラッシュする。

このカードは、ポケモンについているかぎり、【超】【悪】の2つのタイプのエネルギー2個ぶんとしてはたらく。",112,False,False,低,54
18,グロウ【草】エネルギー,M3,078/080,特殊エネルギー,,,,,草,,,,,,,"このカードは、ポケモンについているかぎり、【草】エネルギー1個ぶんとしてはたらく。

このカードをつけている【草】ポケモンは、最大HPが「+20」される。",77,False,False,低,57
